DIM_SITE_ID,MEASURE_DATE,MEASURE_VALUE,SITE_COUNTRY,SITE_LATITUDE,SITE_LONGITUDE
6002857824960866008,2023-04-17,4448.184,Ghana,-0.235111,5.632167
18074720362286236858,2021-08-30,3754.3325,Ghana,5.645686,0.008678
10173608244938908903,2022-07-29,4466.41391667,Ghana,5.645759,-0.105223
18074720362286236858,2021-11-13,5892.74833333,Ghana,5.645686,0.008678
18074720362286236858,2022-06-23,245.44666667,Ghana,5.645686,0.008678
10173608244938908903,2022-08-21,4736.25341667,Ghana,5.645759,-0.105223
10173608244938908903,2021-11-27,5534.375,Ghana,5.645759,-0.105223
18074720362286236858,2022-03-20,5630.73416667,Ghana,5.645686,0.008678
6002857824960866008,2023-04-07,4776.651,Ghana,-0.235111,5.632167
6002857824960866008,2021-07-21,4325.80216667,Ghana,-0.235111,5.632167
18074720362286236858,2023-10-11,5758.56583333,Ghana,5.645686,0.008678
18074720362286236858,2023-03-31,2532.8225,Ghana,5.645686,0.008678
6002857824960866008,2022-02-16,3900.4465,Ghana,-0.235111,5.632167
10173608244938908903,2021-04-25,5029.70833333,Ghana,5.645759,-0.105223
18074720362286236858,2021-05-03,4494.3075,Ghana,5.645686,0.008678
6002857824960866008,2024-02-11,3944.371,Ghana,-0.235111,5.632167
18074720362286236858,2022-09-26,2413.20166667,Ghana,5.645686,0.008678
10173608244938908903,2022-10-26,6690.0025,Ghana,5.645759,-0.105223
6002857824960866008,2021-10-09,4066.82116667,Ghana,-0.235111,5.632167
10173608244938908903,2021-08-07,3478.41666667,Ghana,5.645759,-0.105223
6002857824960866008,2021-10-15,5777.30033333,Ghana,-0.235111,5.632167
18074720362286236858,2021-12-22,4662.7375,Ghana,5.645686,0.008678
6002857824960866008,2023-07-22,1408.844,Ghana,-0.235111,5.632167
10173608244938908903,2024-06-23,5660.225,Ghana,5.645759,-0.105223
10173608244938908903,2023-01-23,3785.846,Ghana,5.645759,-0.105223
18074720362286236858,2023-08-20,4228.21583333,Ghana,5.645686,0.008678
10173608244938908903,2023-11-13,5277.173,Ghana,5.645759,-0.105223
10173608244938908903,2019-03-04,0,Ghana,5.645759,-0.105223
18074720362286236858,2022-05-18,6031.9625,Ghana,5.645686,0.008678
6002857824960866008,2022-05-21,4430.366,Ghana,-0.235111,5.632167
10173608244938908903,2021-01-20,4431.25,Ghana,5.645759,-0.105223
10173608244938908903,2024-03-02,5938.152,Ghana,5.645759,-0.105223
6002857824960866008,2023-11-30,4291.141,Ghana,-0.235111,5.632167
10173608244938908903,2022-11-13,5831.99768056,Ghana,5.645759,-0.105223
10173608244938908903,2021-01-28,4276.91666667,Ghana,5.645759,-0.105223
6002857824960866008,2024-01-18,4468.714,Ghana,-0.235111,5.632167
6002857824960866008,2021-11-05,3708.649,Ghana,-0.235111,5.632167
18074720362286236858,2024-03-01,3164.943,Ghana,5.645686,0.008678
10173608244938908903,2021-04-03,5227.41666667,Ghana,5.645759,-0.105223
18074720362286236858,2021-02-19,4753.21945833,Ghana,5.645686,0.008678
10173608244938908903,2022-03-18,4476.45834583,Ghana,5.645759,-0.105223
18074720362286236858,2023-02-03,4763.27416667,Ghana,5.645686,0.008678
18074720362286236858,2023-10-06,6765.735,Ghana,5.645686,0.008678
18074720362286236858,2022-06-09,5573.31333333,Ghana,5.645686,0.008678
18074720362286236858,2021-05-02,5802.22166667,Ghana,5.645686,0.008678
