,58,200,12.86,0,0,-.385
102,2010,77,400,13.7,0,0,-.281
102,2010,77,500,13.72,0,0,-.248
102,2010,77,600,13.73,0,0,-.253
102,2010,77,700,13.73,0,0,-.314
102,2010,77,800,13.74,90.179,0,-.286
102,2010,77,900,13.75,361.63,0,-.27
102,2010,77,1000,13.73,701.57,0,-.248
102,2010,77,1100,13.71,1103.7,0,-.264
102,2010,77,1200,13.7,1411.4,0,-.226
102,2010,77,1300,13.68,1476.1,0,-.242
102,2010,77,1400,13.66,1681.7,0,-.281
102,2010,77,1500,13.66,1673.8,0,-.237
102,2010,77,1600,13.65,1370,0,-.231
102,2010,77,1700,13.64,989.01,0,-.292
102,2010,77,1800,13.64,695.69,0,-.325
102,2010,77,1900,13.64,332.93,0,-.286
102,2010,77,2000,13.65,7.6151,0,-.259
102,2010,77,2100,13.66,0,0,-.215
102,2010,77,2200,13.66,0,0,-.237
102,2010,77,2300,13.67,0,0,-.27
101,2010,77,2400,13.64,11895,0
102,2010,77,2400,13.69,.02873,0,-.275
102,2010,78,100,13.69,0,0,-.259
102,2010,78,200,13.7,0,0,-.424
102,2010,78,300,13.7,0,0,-.506
102,2010,78,400,13.72,0,0,-.617
102,2010,78,500,13.72,0,0,-.655
102,2010,78,600,13.72,0,0,-.512
102,2010,78,700,13.72,0,0,-.551
102,2010,78,800,12.96,88.416,0,-.677
102,2010,78,900,12.86,438.67,0,-.325
102,2010,78,1000,13.74,836.22,0,-.275
102,2010,78,1100,13.73,1125.6,0,-.259
102,2010,78,1200,13.72,1163.3,0,-.259
102,2010,78,1300,13.7,1345.8,0,-.253
102,2010,78,1400,13.68,1231.7,0,-.275
102,2010,78,1500,13.66,2088.3,0,-.281
102,2010,78,1600,13.65,1595.1,0,-.275
102,2010,78,1700,13.65,1572.4,0,-.27
102,2010,78,1800,13.65,181.72,0,-.413
102,2010,78,1900,13.71,11.533,0,-.396
102,2010,78,2000,13.75,.0479,0,-.556
102,2010,78,2100,13.75,0,0,-.512
102,2010,78,2200,13.75,.05748,0,-.506
102,2010,78,2300,13.75,.03832,0,-.545
101,2010,78,2400,12.86,11679,0
102,2010,78,2400,13.75,.00958,0,-.534
102,2010,79,100,13.74,.02874,0,-.551
102,2010,79,200,13.75,.01916,0,-.523
102,2010,79,300,13.75,0,0,-.429
102,2010,79,400,13.75,0,0,-.27
102,2010,79,500,13.77,0,0,-.264
102,2010,79,600,13.78,0,0,-.325
102,2010,79,700,13.78,0,0,-.27
102,2010,79,800,13.79,109.98,0,-.242
102,2010,79,900,13.78,598.61,.083,.463
102,2010,79,1000,13.78,1188.9,0,-.22
102,2010,79,1100,13.76,1712.4,0,-.242
102,2010,79,1200,13.75,1300,0,-.242
102,2010,79,1300,13.72,1501.8,0,-.275
102,2010,79,1400,13.7,1540.4,0,-.297
102,2010,79,1500,13.68,1477.8,0,-.242
102,2010,79,1600,13.68,1025.4,0,-.248
102,2010,79,1700,13.66,349.8,0,-.27
102,2010,79,1800,13.66,515.56,0,-.264
102,2010,79,1900,13.66,138.29,0,-.292
102,2010,79,2000,13.67,5.9386,0,-.462
102,2010,79,2100,13.72,0,0,-.523
102,2010,79,2200,13.73,0,0,-.484
102,2010,79,2300,13.73,0,0,-.44
101,2010,79,2400,13.66,11465,.083
