time,G(i),H_sun,T2m,WS10m,Int
20050117:1409,285.43,3.67,11.9,1.86,0.0
20050117:1509,0.0,0.0,10.65,1.93,0.0
20050117:1609,0.0,0.0,9.23,1.86,0.0
20050117:1709,0.0,0.0,7.74,1.38,0.0
20050117:1809,0.0,0.0,7.89,0.9,0.0
20050117:1909,0.0,0.0,5.84,1.72,0.0
20050117:2009,0.0,0.0,5.44,1.93,0.0
20050117:2109,0.0,0.0,4.81,1.45,0.0
20050117:2209,0.0,0.0,5.72,0.48,0.0
20050117:2309,0.0,0.0,5.21,0.69,0.0
20050118:0009,0.0,0.0,4.11,1.03,0.0
20050118:0109,0.0,0.0,3.25,1.1,0.0
20050118:0209,0.0,0.0,2.46,1.17,0.0
20050118:0309,0.0,0.0,1.69,1.45,0.0
20050118:0409,0.0,0.0,1.59,1.72,0.0
20050118:0509,0.0,0.0,1.89,1.93,0.0
20050118:0609,59.24,15.59,3.68,1.79,0.0
20050118:0709,168.6,23.92,6.84,2.76,0.0
20050118:0809,125.07,30.02,8.71,3.38,0.0
20050118:0909,137.29,33.16,10.06,3.59,0.0
20050118:1009,58.3,32.85,10.84,3.31,0.0
20050118:1109,62.06,29.13,10.67,2.97,0.0
20050118:1209,186.26,22.58,10.48,2.97,0.0
20050118:1309,73.35,13.94,10.13,2.83,0.0
20050118:1409,7.52,3.86,9.53,1.59,0.0
20050118:1509,0.0,0.0,8.82,0.83,0.0
20050118:1609,0.0,0.0,8.38,0.14,0.0
20050118:1709,0.0,0.0,7.09,0.83,0.0
20050118:1809,0.0,0.0,6.41,1.38,0.0
20050118:1909,0.0,0.0,6.43,1.79,0.0
20050118:2009,0.0,0.0,6.54,1.79,0.0
20050118:2109,0.0,0.0,6.26,2.0,0.0
20050118:2209,0.0,0.0,5.79,2.07,0.0
20050118:2309,0.0,0.0,5.19,2.14,0.0
20050119:0009,0.0,0.0,4.64,2.14,0.0
20050119:0109,0.0,0.0,4.19,2.34,0.0
20050119:0209,0.0,0.0,4.02,2.14,0.0
20050119:0309,0.0,0.0,3.75,1.93,0.0
20050119:0409,0.0,0.0,3.23,2.0,0.0
20050119:0509,8.46,5.82,2.63,2.0,0.0
20050119:0609,116.5,15.7,4.54,1.45,0.0
20050119:0709,242.2,24.05,7.11,2.34,0.0
20050119:0809,368.05,30.19,8.94,2.9,0.0
20050119:0909,686.83,33.36,10.34,3.1,0.0
20050119:1009,895.51,33.06,11.3,2.83,0.0
20050119:1109,898.54,29.35,11.8,2.55,0.0
20050119:1209,400.19,22.79,11.94,2.28,0.0
20050119:1309,553.02,14.14,11.82,1.86,0.0
20050119:1409,159.64,4.05,11.33,1.45,0.0
20050119:1509,0.0,0.0,10.24,1.72,0.0
20050119:1609,0.0,0.0,8.91,1.79,0.0
20050119:1709,0.0,0.0,8.17,2.14,0.0
20050119:1809,0.0,0.0,7.3,2.34,0.0
20050119:1909,0.0,0.0,6.9,2.34,0.0
20050119:2009,0.0,0.0,6.38,2.34,0.0
20050119:2109,0.0,0.0,5.75,2.0,0.0
20050119:2209,0.0,0.0,5.39,2.28,0.0
20050119:2309,0.0,0.0,4.78,2.0,0.0
20050120:0009,0.0,0.0,4.38,1.66,0.0
20050120:0109,0.0,0.0,3.86,1.38,0.0
20050120:0209,0.0,0.0,5.33,0.69,0.0
20050120:0309,0.0,0.0,4.87,0.9,0.0
20050120:0409,0.0,0.0,3.66,1.17,0.0
20050120:0509,4.7,5.9,2.96,1.31,0.0
20050120:0609,107.23,15.82,5.06,1.17,0.0
20050120:0709,205.68,24.2,6.98,1.38,0.0
20050120:0809,341.56,30.36,8.84,1.24,0.0
20050120:0909,198.39,33.56,10.27,0.97,0.0
20050120:1009,272.6,33.28,11.27,0.69,0.0
20050120:1109,425.99,29.57,11.74,0.41,0.0
20050120:1209,47.96,23.01,11.88,0.83,0.0
20050120:1309,86.18,14.34,11.63,0.97,0.0
20050120:1409,7.52,4.24,11.36,0.9,0.0
20050120:1509,0.0,0.0,10.65,0.83,0.0
20050120:1609,0.0,0.0,10.08,0.62,0.0
20050120:1709,0.0,0.0,9.0,1.03,0.0
20050120:1809,0.0,0.0,8.2,1.66,0.0
20050120:1909,0.0,0.0,7.13,2.21,0.0
20050120:2009,0.0,0.0,6.57,2.21,0.0
20050120:2109,0.0,0.0,6.34,2.21,0.0
20050120:2209,0.0,0.0,5.95,2.34,0.0
20050120:2309,0.0,0.0,5.92,2.41,0.0
20050121:0009,0.0,0.0,5.68,2.41,0.0
20050121:0109,0.0,0.0,5.44,2.41,0.0
20050121:0209,0.0,0.0,5.11,2.62,0.0
20050121:0309,0.0,0.0,4.66,2.9,0.0
20050121:0409,0.0,0.0,4.17,3.24,0.0
20050121:0509,1.88,6.0,4.0,3.31,0.0
20050121:0609,58.3,15.94,5.06,3.52,0.0
20050121:0709,177.08,24.35,6.81,4.34,0.0
20050121:0809,329.11,30.55,8.73,5.66,0.0
20050121:0909,352.32,33.77,9.82,6.34,0.0
20050121:1009,504.55,33.51,10.19,6.0,0.0
20050121:1109,170.24,29.8,10.53,5.59,0.0
20050121:1209,394.64,23.23,10.99,5.52,0.0
20050121:1309,457.14,14.55,10.9,5.45,0.0
20050121:1409,189.09,4.44,10.36,5.03,0.0
20050121:1509,0.0,0.0,9.07,4.97,0.0
20050121:1609,0.0,0.0,8.06,5.24,0.0
20050121:1709,0.0,0.0,7.42,5.45,0.0
20050121:1809,0.0,0.0,6.96,5.52,0.0
20050121:1909,0.0,0.0,6.69,5.52,0.0
20050121:2009,0.0,0.0,6.37,5.31,0.0
20050121:2109,0.0,0.0,6.27,5.38,0.0
20050121:2209,0.0,0.0,6.14,5.31,0.0
20050121:2309,0.0,0.0,6.17,5.1,0.0
