time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20050117:0006,0,0,0,0,0,19.2,1.72,0
20050117:0106,0,0,0,0,0,19.13,1.31,0
20050117:0206,0,0,0,0,0,20.2,0.76,0
20050117:0306,0,0,0,0,0,18.29,2.21,0
20050117:0406,0,0,0,0,0,18.65,2.28,0
20050117:0506,35.36,0,59,0,15.4,19.62,1.38,0
20050117:0606,83.05,0,120,0,29.23,22.87,1.24,0
20050117:0706,80.11,0,117,0,42.67,24.36,1.72,0
20050117:0806,97.47,0,139,0,55.16,25.14,1.72,0
20050117:0906,59.72,0,92,0,65.19,25.75,1.72,0
20050117:1006,48.67,0,78,0,68.85,26.29,2.07,0
20050117:1106,76.19,0,113,0,63.37,26.44,2.41,0
20050117:1206,100.25,0,143,0,52.57,26.5,2.76,0
20050117:1306,106.32,0,150,0,39.79,25.59,2.55,0
20050117:1406,92.56,0,133,0,26.25,25.31,1.72,0
20050117:1506,62.32,0,95,0,12.36,24.66,0.83,0
20050117:1606,0,0,0,0,-1.65,23.96,1.24,0
20050117:1706,0,0,0,0,0,22.73,1.45,0
20050117:1806,0,0,0,0,0,21.57,1.79,0
20050117:1906,0,0,0,0,0,21.31,2.41,0
20050117:2006,0,0,0,0,0,21.31,2.83,0
20050117:2106,0,0,0,0,0,21.32,3.1,0
20050117:2206,0,0,0,0,0,21.23,3.03,0
20050117:2306,0,0,0,0,0,20.9,2.48,0
20050118:0006,0,0,0,0,0,20.07,1.86,0
20050118:0106,0,0,0,0,0,19.58,1.38,0
20050118:0206,0,0,0,0,0,19.32,1.31,0
20050118:0306,0,0,0,0,0,18.97,1.17,0
20050118:0406,0,0,0,0,0,18.16,1.66,0
20050118:0506,43.86,0,70,0,15.35,19.99,1.17,0
20050118:0606,73.08,0,108,0,29.2,23.61,1.17,0
20050118:0706,153.33,0,207,0,42.67,24.49,2.55,0
20050118:0806,91.26,0,131,0,55.21,25.19,3.1,0
20050118:0906,146.98,0,200,0,65.32,25.75,3.24,0
20050118:1006,102.14,0,145,0,69.06,26.22,3.45,0
20050118:1106,173.6,0,233,0,63.57,26.27,3.86,0
20050118:1206,100.85,0,143,0,52.74,25.77,4.07,0
20050118:1306,88.76,0,128,0,39.93,25.47,3.45,0
20050118:1406,92.92,0,133,0,26.36,25.07,3.03,0
20050118:1506,55.33,0,86,0,12.46,24.82,2.34,0
20050118:1606,0,0,0,0,-1.57,24.13,2,0
20050118:1706,0,0,0,0,0,23.29,1.93,0
20050118:1806,0,0,0,0,0,22.52,2.07,0
20050118:1906,0,0,0,0,0,21.98,2.62,0
20050118:2006,0,0,0,0,0,21.82,2.62,0
20050118:2106,0,0,0,0,0,21.77,2.83,0
20050118:2206,0,0,0,0,0,21.76,3.03,0
20050118:2306,0,0,0,0,0,21.74,3.03,0
20050119:0006,0,0,0,0,0,21.63,2.97,0
20050119:0106,0,0,0,0,0,21.64,2.83,0
20050119:0206,0,0,0,0,0,21.76,3.03,0
20050119:0306,0,0,0,0,0,21.98,2.69,0
20050119:0406,0,0,0,0,0,21.8,2.55,0
20050119:0506,44.27,0,71,0,15.3,21.9,2.07,0
20050119:0606,139.87,0,190,0,29.18,23.94,2.55,0
20050119:0706,111.81,0,156,0,42.67,24.55,2.76,0
20050119:0806,247.42,0,324,0,55.26,25.31,3.24,0
20050119:0906,291.31,0,379,0,65.45,25.47,3.66,0
20050119:1006,361.12,0,468,0,69.27,25.58,4,0
20050119:1106,362.94,0,470,0,63.78,25.63,4.21,0
20050119:1206,339.47,0,439,0,52.91,25.51,4.48,0
20050119:1306,138.37,0,189,0,40.07,25.69,4.21,0
20050119:1406,113.2,0,158,0,26.47,25.31,3.59,0
20050119:1506,97.75,0,139,0,12.55,24.9,2.41,0
20050119:1606,0,0,0,0,-1.5,24.05,1.86,0
20050119:1706,0,0,0,0,0,23.13,1.45,0
20050119:1806,0,0,0,0,0,22.08,1.1,0
20050119:1906,0,0,0,0,0,20.91,1.66,0
20050119:2006,0,0,0,0,0,20.46,2,0
20050119:2106,0,0,0,0,0,20.33,2.21,0
20050119:2206,0,0,0,0,0,20.52,2.41,0
20050119:2306,0,0,0,0,0,20.94,2.69,0
20050120:0006,0,0,0,0,0,21.17,2.9,0
20050120:0106,0,0,0,0,0,21.55,3.03,0
20050120:0206,0,0,0,0,0,22.01,2.97,0
20050120:0306,0,0,0,0,0,21.9,2.69,0
20050120:0406,0,0,0,0,0,21.55,2.28,0
20050120:0506,44.33,0,71,0,15.25,21.38,1.17,0
20050120:0606,107.61,0,151,0,29.15,23.85,0.97,0
20050120:0706,230.79,0,304,0,42.68,23.66,1.03,0
20050120:0806,171.2,0,230,0,55.31,24.56,1.38,0
20050120:0906,341.82,0,448,0,65.58,25.13,1.79,0
20050120:1006,345.4,0,453,0,69.49,25.14,1.72,0
20050120:1106,273.24,0,359,0,63.99,25.57,2.07,0
20050120:1206,122.18,0,170,0,53.07,25.78,1.86,0
20050120:1306,111.58,0,157,0,40.2,25.79,1.52,0
20050120:1406,81.89,0,120,0,26.58,25.69,1.31,0
20050120:1506,63.71,0,97,0,12.64,25.26,0.9,0
20050120:1606,0,0,0,0,-1.43,24.36,0.76,0
20050120:1706,0,0,0,0,0,23.26,0.9,0
20050120:1806,0,0,0,0,0,22.36,1.31,0
20050120:1906,0,0,0,0,0,21.88,1.79,0
20050120:2006,0,0,0,0,0,21.6,1.93,0
20050120:2106,0,0,0,0,0,21.34,2,0
