timestamp,latitude,longitude,GHI,DNI,DHI
2024-01-17,3.0,33.0,4.02,1.22,2.62
2024-01-18,3.0,33.0,2.53,0.36,1.83
2024-01-19,3.0,33.0,6.32,5.35,2.18
2024-01-20,3.0,33.0,5.7,4.15,2.27
2024-01-21,3.0,33.0,5.18,3.2,2.47
2024-01-22,3.0,33.0,5.41,3.52,2.36
2024-01-23,3.0,33.0,5.62,4.0,2.26
2024-01-24,3.0,33.0,6.02,4.27,2.48
2024-01-25,3.0,33.0,5.87,4.68,2.46
2024-01-26,3.0,33.0,6.26,5.54,2.2
2024-01-27,3.0,33.0,5.77,4.44,2.23
2024-01-28,3.0,33.0,6.39,5.81,2.1
2024-01-29,3.0,33.0,6.55,6.46,1.95
2024-01-30,3.0,33.0,5.83,4.46,3.21
2024-01-31,3.0,33.0,5.55,3.24,2.71
2024-02-01,3.0,33.0,4.8,0.74,3.51
2024-02-02,3.0,33.0,5.83,3.69,3.34
2024-02-03,3.0,33.0,5.84,4.65,2.06
2024-02-04,3.0,33.0,5.2,2.51,2.92
2024-02-05,3.0,33.0,5.99,3.82,2.97
2024-02-06,3.0,33.0,5.13,2.55,2.7
2024-02-07,3.0,33.0,6.52,5.92,2.13
2024-02-08,3.0,33.0,5.06,4.17,1.95
2024-02-09,3.0,33.0,5.63,4.13,2.45
2024-02-10,3.0,33.0,5.75,3.78,2.56
2024-02-11,3.0,33.0,5.26,3.57,2.96
2024-02-12,3.0,33.0,5.51,3.45,3.1
2024-02-13,3.0,33.0,6.23,5.36,2.4
2024-02-14,3.0,33.0,6.02,4.28,2.81
2024-02-15,3.0,33.0,4.98,1.77,3.32
2024-02-16,3.0,33.0,5.44,3.03,2.74
2024-02-17,3.0,33.0,6.0,5.4,1.91
2024-02-18,3.0,33.0,6.13,4.86,2.12
2024-02-19,3.0,33.0,2.88,0.77,1.79
2024-02-20,3.0,33.0,5.79,3.47,2.78
2024-02-21,3.0,33.0,5.81,4.09,2.78
2024-02-22,3.0,33.0,7.01,6.0,2.81
2024-02-23,3.0,33.0,6.61,6.88,2.65
2024-02-24,3.0,33.0,6.52,4.81,2.39
2024-02-25,3.0,33.0,6.14,5.27,3.51
2024-02-26,3.0,33.0,5.61,3.91,3.03
2024-02-27,3.0,33.0,4.47,1.03,3.13
2024-02-28,3.0,33.0,3.87,0.16,2.83
2024-02-29,3.0,33.0,5.67,3.89,2.15
2024-03-01,3.0,33.0,4.54,1.75,2.49
2024-03-02,3.0,33.0,6.51,4.92,2.51
2024-03-03,3.0,33.0,6.2,5.46,2.41
2024-03-04,3.0,33.0,5.92,5.17,3.03
2024-03-05,3.0,33.0,5.62,3.41,2.62
2024-03-06,3.0,33.0,5.53,2.73,2.87
2024-03-07,3.0,33.0,6.61,5.65,2.21
2024-03-08,3.0,33.0,6.43,5.63,2.05
2024-03-09,3.0,33.0,5.35,2.88,2.66
2024-03-10,3.0,33.0,4.54,1.4,2.85
2024-03-11,3.0,33.0,6.54,6.31,2.59
2024-03-12,3.0,33.0,7.64,8.41,1.44
2024-03-13,3.0,33.0,7.36,7.19,1.87
2024-03-14,3.0,33.0,7.4,7.79,1.58
2024-03-15,3.0,33.0,7.12,6.78,2.79
2024-03-16,3.0,33.0,7.68,7.59,1.92
2024-03-17,3.0,33.0,7.3,6.72,1.97
2024-03-18,3.0,33.0,7.18,6.5,2.11
2024-03-19,3.0,33.0,6.99,5.42,2.71
2024-03-20,3.0,33.0,6.68,5.65,3.14
2024-03-21,3.0,33.0,7.35,6.69,2.29
2024-03-22,3.0,33.0,7.1,6.42,2.0
2024-03-23,3.0,33.0,7.23,6.26,2.04
2024-03-24,3.0,33.0,5.41,3.33,3.15
2024-03-25,3.0,33.0,5.16,1.54,3.01
2024-03-26,3.0,33.0,5.9,3.77,3.56
2024-03-27,3.0,33.0,2.72,0.62,1.74
2024-03-28,3.0,33.0,5.95,3.26,3.02
2024-03-29,3.0,33.0,6.78,5.1,2.73
2024-03-30,3.0,33.0,5.89,4.55,2.37
2024-03-31,3.0,33.0,5.83,4.83,3.2
2024-04-01,3.0,33.0,6.02,3.39,2.82
