# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2020-01-01T00:00:00.0
# Date end (ISO 8601): 2021-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 2.7333
# Longitude (positive East, ISO 19115): 31.4000
# Altitude (m): 649.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2024-07-23
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2020-03-09T00:00:00.0/2020-03-10T00:00:00.0;10454.8291;7202.0596;5119.1763;2082.8838;6825.1616;4915.1279;2270.6436;2644.4846;2614.2598;0.9851
2020-03-10T00:00:00.0/2020-03-11T00:00:00.0;10459.8145;7551.5566;6191.7510;1359.8055;8453.5811;7478.9565;6107.4238;1371.5326;8090.2632;0.9851
2020-03-11T00:00:00.0/2020-03-12T00:00:00.0;10464.2666;7467.5312;5809.4717;1658.0597;7834.1543;5762.0728;3572.9895;2189.0833;4088.1399;0.9851
2020-03-12T00:00:00.0/2020-03-13T00:00:00.0;10468.2598;7616.0601;6277.9819;1338.0779;8560.5996;7399.0229;5862.9224;1536.1002;7705.6436;0.9847
2020-03-13T00:00:00.0/2020-03-14T00:00:00.0;10471.6689;7467.0454;5682.4546;1784.5908;7621.7329;6619.0986;3946.6323;2672.4663;4975.4946;0.9899
2020-03-14T00:00:00.0/2020-03-15T00:00:00.0;10474.4844;7273.0381;5107.7114;2165.3269;6738.6978;6579.9028;4042.6980;2537.2046;4948.6978;0.9906
2020-03-15T00:00:00.0/2020-03-16T00:00:00.0;10476.9082;6538.9404;3491.9072;3047.0332;4421.1719;5254.9736;1448.2875;3806.6863;1876.4396;0.9903
2020-03-16T00:00:00.0/2020-03-17T00:00:00.0;10478.7363;6519.3179;3419.5408;3099.7771;4325.4375;5945.1284;2607.7095;3337.4192;3052.5762;0.9903
2020-03-17T00:00:00.0/2020-03-18T00:00:00.0;10480.0723;7356.4829;5413.8096;1942.6735;7251.5059;5844.0142;3307.4561;2536.5583;3776.0449;0.9899
2020-03-18T00:00:00.0/2020-03-19T00:00:00.0;10480.8398;7639.6289;6308.0957;1331.5331;8644.8203;3162.8708;1113.1200;2049.7507;2075.7324;0.9899
2020-03-19T00:00:00.0/2020-03-20T00:00:00.0;10481.0166;7731.2930;6546.7891;1184.5040;9022.1641;7142.1768;4915.2715;2226.9053;6712.8833;0.9899
2020-03-20T00:00:00.0/2020-03-21T00:00:00.0;10480.7754;7803.1597;6697.9341;1105.2256;9253.8701;7215.2778;5526.0371;1689.2408;7319.8643;0.9896
2020-03-21T00:00:00.0/2020-03-22T00:00:00.0;10479.9590;7720.5386;6478.5522;1241.9866;8855.8691;7063.7100;4612.6895;2451.0208;6088.3027;0.9896
2020-03-22T00:00:00.0/2020-03-23T00:00:00.0;10478.5977;7903.3125;7001.1494;902.1630;9764.6953;6921.0293;4172.6401;2748.3894;5795.8120;0.9896
2020-03-23T00:00:00.0/2020-03-24T00:00:00.0;10476.7715;7886.3662;6946.3125;940.0536;9670.1562;6618.6914;5183.7676;1434.9237;6580.6504;0.9892
2020-03-24T00:00:00.0/2020-03-25T00:00:00.0;10474.3350;7497.2798;5871.5342;1625.7457;7935.3188;4443.0796;1868.0012;2575.0781;3066.7495;0.9896
2020-03-25T00:00:00.0/2020-03-26T00:00:00.0;10471.4697;7568.0581;6149.4038;1418.6543;8373.4561;5164.6040;3010.3611;2154.2429;4175.7583;0.9892
2020-03-26T00:00:00.0/2020-03-27T00:00:00.0;10468.0576;7676.0815;6426.6104;1249.4714;8789.3916;7346.9229;5725.6357;1621.2874;7398.1797;0.9892
2020-03-27T00:00:00.0/2020-03-28T00:00:00.0;10464.1191;7149.2861;4923.7021;2225.5837;6439.6709;4281.2676;1545.5441;2735.7234;2127.9382;0.9892
2020-03-28T00:00:00.0/2020-03-29T00:00:00.0;10459.6836;7122.9443;4884.3472;2238.5972;6381.7964;6046.0825;3190.5129;2855.5696;3821.0293;0.9892
