Day,Temperature (C),Temperature (SAT) (C),Rain (mm),GHI_1 (kWh/m2/day),GHI_2 (kWh/m2/day),GHI_SAT (kWh/m2/day),GHI (1) vs (2) (%),GHI (1) vs (SAT) (%),DHI (1) (kWh/m2/day),DHI (SAT) (kWh/m2/day),DHI (1) vs (SAT) (%)
2020-07-27,22.63,23.36,0.0,4.37,4.38,3.94,-0.32,9.79,2.76,2.24,18.76
2020-07-28,20.47,22.23,22.4,2.75,2.76,2.39,-0.29,13.0,2.65,2.18,17.8
2020-07-29,22.77,21.02,0.4,6.2,6.22,5.92,-0.35,4.45,2.24,3.05,-36.11
2020-07-30,21.9,21.3,29.6,4.66,4.67,5.08,-0.29,-9.03,2.34,2.74,-17.23
2020-07-31,22.91,23.28,0.0,5.93,5.95,6.37,-0.31,-7.39,1.59,2.24,-40.59
2020-08-01,23.93,23.89,0.0,6.46,6.48,6.75,-0.31,-4.38,1.64,2.19,-33.28
2020-08-02,23.4,23.05,0.0,5.97,5.99,6.6,-0.38,-10.57,2.38,2.26,4.9
2020-08-03,22.66,22.25,11.8,5.33,5.35,5.61,-0.31,-5.33,2.21,2.34,-6.29
2020-08-04,21.92,21.33,4.0,4.31,4.32,4.45,-0.31,-3.38,2.99,2.74,8.3
2020-08-05,22.57,22.48,0.0,6.48,6.5,6.48,-0.29,-0.1,1.83,2.27,-23.99
2020-08-06,23.49,22.7,0.0,5.9,5.92,6.1,-0.39,-3.39,1.92,2.59,-35.07
2020-08-07,22.77,22.38,0.2,5.88,5.89,5.78,-0.28,1.68,2.99,2.82,5.65
2020-08-08,22.45,22.61,0.0,5.14,5.16,5.53,-0.28,-7.54,2.64,2.9,-9.55
2020-08-09,22.42,21.84,0.0,4.82,4.84,5.51,-0.35,-14.3,2.73,3.11,-13.9
2020-08-10,22.73,22.54,0.0,5.74,5.76,6.05,-0.32,-5.36,2.59,3.02,-16.58
2020-08-11,23.7,22.79,0.0,6.27,6.29,6.04,-0.36,3.58,2.43,3.08,-27.02
2020-08-12,22.51,22.9,0.0,4.32,4.34,4.41,-0.37,-1.97,2.69,2.61,3.05
2020-08-13,23.64,22.89,0.0,6.75,6.78,6.6,-0.47,2.24,2.38,2.6,-9.27
2020-08-14,23.51,22.95,41.2,5.63,5.65,5.8,-0.28,-2.9,3.01,2.74,8.87
2020-08-15,23.45,23.03,6.0,6.12,6.14,5.81,-0.26,5.05,3.01,2.72,9.83
