datetime,SUN,BHI (W/m2),GHI (W/m2),GTI_30 (W/m2),GTI_15 (W/m2),GTI_22.5 (W/m2)
2016-04-10 06:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-10 07:00:00,0.0,4.985,1.4746666666666666,1.3555555555555556,1.4886944444444445,1.2489444444444444
2016-04-10 08:00:00,0.067,46.95,69.76666666666667,59.36944444444445,66.19722222222222,61.34722222222222
2016-04-10 09:00:00,0.683,356.2,315.47222222222223,267.0805555555556,303.63888888888886,281.22222222222223
2016-04-10 10:00:00,0.2,102.5,224.03333333333333,194.31944444444443,214.2388888888889,204.1638888888889
2016-04-10 11:00:00,0.05,41.41,240.92222222222225,219.22500000000002,230.3527777777778,225.67222222222222
2016-04-10 12:00:00,0.0,7.96,91.14722222222223,83.5111111111111,87.75833333333334,86.95
2016-04-10 13:00:00,0.0,6.08,229.725,210.48055555555558,222.01666666666668,222.05277777777778
2016-04-10 14:00:00,0.0,3.453,101.40277777777779,96.31666666666668,99.10555555555555,99.2138888888889
2016-04-10 15:00:00,0.2,77.9,390.33333333333337,319.75,351.6388888888889,346.3055555555556
2016-04-10 16:00:00,0.983,356.2,620.6111111111111,490.6666666666667,545.9166666666666,542.4722222222223
2016-04-10 17:00:00,1.0,374.1,502.1666666666667,389.6666666666667,430.75000000000006,432.75000000000006
2016-04-10 18:00:00,0.85,226.0,193.32222222222225,142.4611111111111,157.98055555555555,159.13611111111112
2016-04-10 19:00:00,0.0,25.5,35.37777777777778,24.84138888888889,26.558055555555555,25.570000000000004
2016-04-10 20:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-10 21:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-10 22:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-10 23:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-11 00:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-11 01:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-11 02:00:00,0.0,3.353,0.0,0.0,0.0,0.029272222222222224
2016-04-11 03:00:00,0.0,3.353,0.01666388888888889,0.03859166666666667,0.07494444444444444,0.02731944444444445
2016-04-11 04:00:00,0.0,3.353,0.3699166666666667,0.2918611111111111,0.37472222222222223,0.013661111111111112
2016-04-11 05:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-11 06:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-11 07:00:00,0.0,3.353,0.798138888888889,0.8900277777777778,0.9129722222222223,0.9054722222222222
2016-04-11 08:00:00,0.1,42.46,65.31666666666666,58.125,63.516666666666666,60.94722222222222
2016-04-11 09:00:00,1.0,505.3,407.00000000000006,339.19444444444446,392.52777777777777,361.08333333333337
2016-04-11 10:00:00,1.0,651.3,607.1944444444445,498.8888888888889,576.5277777777778,532.25
2016-04-11 11:00:00,1.0,710.0,817.0833333333334,671.9722222222222,770.5277777777778,721.6388888888889
2016-04-11 12:00:00,0.85,579.5,877.3888888888889,725.8055555555557,819.9722222222223,779.5833333333334
2016-04-11 13:00:00,0.866,526.1,924.2777777777778,761.8611111111111,857.8611111111112,829.4722222222223
2016-04-11 14:00:00,0.75,508.1,910.2500000000001,742.6388888888889,825.5555555555555,814.2500000000001
2016-04-11 15:00:00,0.983,742.0,913.3611111111111,721.888888888889,803.9722222222223,799.7222222222223
2016-04-11 16:00:00,1.0,794.0,776.9166666666667,584.0833333333333,663.1388888888889,660.4722222222222
2016-04-11 17:00:00,0.983,759.0,534.1111111111111,371.3055555555556,427.44444444444446,431.7777777777778
2016-04-11 18:00:00,1.0,589.2,265.0555555555556,151.40277777777777,185.75000000000003,188.60833333333335
