datetime,corrupt,SUN,BHI (W/m2),GHI (W/m2),GTI_30 (W/m2),GTI_15 (W/m2),GTI_22.5 (W/m2)
2020-12-04,4841.0,1.699,33.42,2914.722222222222,2743.3611111111113,2807.5,2809.4444444444443
2020-12-05,4841.0,0.25,7.11,913.7777777777778,801.8611111111111,854.2500000000001,844.388888888889
2020-12-06,4841.0,4.098,104.8,2976.388888888889,3448.3333333333335,3342.5,3394.444444444445
2020-12-07,4841.0,4.248,94.3,3563.888888888889,3751.666666666667,3712.222222222222,3682.222222222222
2020-12-08,4841.0,7.33,136.5,4621.111111111111,4913.333333333334,4804.722222222223,4834.722222222223
2020-12-09,4841.0,8.46,230.7,5896.38888888889,6547.777777777778,6281.944444444444,6463.88888888889
2020-12-10,4841.0,4.831,127.2,4445.0,4816.944444444444,4722.5,4734.444444444444
2020-12-11,4841.0,5.431,130.3,3988.0555555555557,4411.388888888889,4319.166666666667,4224.166666666667
2020-12-12,4841.0,7.56,177.1,5510.555555555556,5889.166666666667,5712.5,5787.777777777778
2020-12-13,4841.0,7.56,181.2,4949.166666666667,5374.722222222223,5169.444444444444,5334.166666666667
2020-12-14,4841.0,7.18,135.4,5046.111111111111,5411.111111111111,5332.222222222223,5295.277777777778
2020-12-15,4841.0,10.5,222.6,6154.722222222223,6821.666666666667,6553.333333333334,6661.111111111111
2020-12-16,4841.0,7.46,189.9,5831.666666666667,6424.166666666667,6224.166666666667,6200.833333333334
2020-12-17,4841.0,9.28,223.1,6178.611111111111,6879.166666666667,6576.944444444444,6634.166666666667
2020-12-18,4841.0,6.331,105.1,4982.777777777778,5183.333333333334,5101.666666666667,5187.777777777778
2020-12-19,4841.0,2.649,40.12,3578.0555555555557,3418.3333333333335,3493.3333333333335,3521.1111111111113
2020-12-20,4841.0,2.982,47.18,3402.5,3390.5555555555557,3404.166666666667,3448.0555555555557
2020-12-21,4841.0,2.349,48.73,3020.8333333333335,2991.388888888889,3019.166666666667,3073.0555555555557
2020-12-22,4841.0,5.798,117.0,3264.444444444445,3553.6111111111113,3424.444444444445,3497.777777777778
2020-12-23,4841.0,4.415,93.0,4224.722222222223,4281.111111111111,4223.888888888889,4300.277777777778
2020-12-24,4841.0,7.4,183.1,4989.722222222223,5517.777777777778,5275.833333333334,5345.0
2020-12-25,4841.0,4.865,102.8,3901.1111111111113,3988.3333333333335,3905.8333333333335,3993.3333333333335
2020-12-26,4841.0,4.931,113.2,3796.944444444445,3966.944444444445,3875.277777777778,3998.888888888889
2020-12-27,4841.0,6.864,159.3,4812.222222222223,5136.666666666667,4975.555555555556,5115.555555555556
2020-12-28,4841.0,7.4,142.9,4714.722222222223,4908.611111111111,4796.666666666667,4920.0
2020-12-29,4841.0,9.83,251.5,6416.38888888889,7107.777777777778,6775.833333333334,6880.0
2020-12-30,4841.0,9.58,232.0,5986.38888888889,6592.5,6312.777777777778,6386.111111111111
2020-12-31,4841.0,8.7,197.7,5521.944444444444,6018.88888888889,5772.777777777778,5869.722222222223
2021-01-01,4841.0,1.783,20.71,1863.5555555555557,1725.7222222222224,1775.1666666666667,1793.2222222222224
2021-01-02,4841.0,0.017,5.974,1376.5833333333333,1251.4444444444443,1307.2777777777778,1319.9166666666667
2021-01-03,4841.0,6.098,114.4,4200.833333333334,4299.444444444444,4216.111111111111,4306.944444444444
2021-01-04,4841.0,5.831,106.9,4560.277777777778,4694.722222222223,4609.166666666667,4732.777777777778
2021-01-05,4841.0,5.315,136.3,4617.777777777778,4742.777777777778,4635.833333333334,4728.888888888889
2021-01-06,4841.0,6.964,166.1,4640.833333333334,5037.222222222223,4853.888888888889,4930.833333333334
2021-01-07,4841.0,7.2,180.6,5701.38888888889,5991.38888888889,5809.166666666667,5971.944444444444
2021-01-08,4841.0,8.56,211.6,5942.777777777778,6404.166666666667,6201.38888888889,6248.611111111111
2021-01-09,4841.0,9.9,230.2,6230.833333333334,6754.444444444444,6479.722222222223,6600.277777777778
2021-01-10,4841.0,0.866,17.13,2606.5833333333335,2388.388888888889,2476.416666666667,2514.722222222222
2021-01-11,4841.0,0.1,6.344,1103.2222222222222,967.0833333333334,1022.3888888888889,1027.5
2021-01-12,4841.0,0.25,9.86,1378.4722222222222,1241.0555555555557,1293.0277777777778,1299.4722222222224
2021-01-13,4841.0,1.916,27.03,2831.666666666667,2640.277777777778,2710.083333333333,2746.7222222222226
2021-01-14,4841.0,5.898,108.4,3936.1111111111113,4096.944444444444,4022.2222222222226,4096.944444444444
2021-01-15,4841.0,4.098,74.0,3896.388888888889,3761.944444444445,3776.666666666667,3881.666666666667
2021-01-16,4841.0,1.666,33.33,3369.722222222222,3173.6111111111113,3246.944444444445,3307.222222222222
2021-01-17,4841.0,1.983,41.55,2301.3611111111113,2125.638888888889,2171.9444444444443,2226.138888888889
2021-01-18,4841.0,4.332,89.4,3605.277777777778,3545.8333333333335,3508.888888888889,3623.3333333333335
2021-01-19,4841.0,0.95,18.09,2004.7222222222224,1901.6666666666667,1950.5555555555557,1989.5555555555554
2021-01-20,4841.0,3.848,72.5,3624.722222222222,3523.0555555555557,3529.444444444445,3644.166666666667
2021-01-21,4841.0,2.449,40.59,3337.777777777778,3184.444444444445,3246.388888888889,3327.5
2021-01-22,4841.0,7.08,113.7,4106.944444444444,4179.166666666667,4133.055555555556,4198.055555555556
2021-01-23,4841.0,4.948,57.11,4172.777777777778,3990.8333333333335,4041.388888888889,4116.944444444444
2021-01-28,4841.0,3.315,231.5,1875.611111111111,1904.7500000000002,1823.1944444444446,1935.3333333333333
2021-01-29,4841.0,10.36,271.1,6344.722222222223,6603.88888888889,6396.666666666667,6629.166666666667
2021-01-30,4841.0,7.01,173.5,4683.333333333334,4835.277777777778,4746.944444444444,4901.388888888889
2021-01-31,4841.0,7.5,118.1,4474.722222222223,4402.777777777778,4382.222222222223,4528.611111111111
2021-02-01,4841.0,5.781,143.9,4682.222222222223,4681.388888888889,4624.444444444444,4798.611111111111
2021-02-02,4841.0,10.66,250.3,6338.055555555556,6523.333333333334,6380.833333333334,6507.222222222223
2021-02-03,4841.0,10.63,209.8,6137.5,6241.111111111111,6123.88888888889,6330.0
2021-02-04,4841.0,7.05,165.5,5161.944444444444,5176.666666666667,5138.055555555556,5345.277777777778
2021-02-05,4841.0,5.914,161.6,5627.222222222223,5555.277777777778,5513.888888888889,5716.666666666667
2021-02-06,4841.0,4.148,105.1,2785.8333333333335,2883.6111111111113,2853.888888888889,2987.5
2021-02-07,4841.0,9.18,162.3,5528.888888888889,5440.0,5430.0,5557.5
2021-02-08,4841.0,7.16,106.7,4789.444444444444,4641.111111111111,4670.0,4805.833333333334
2021-02-09,4841.0,10.11,193.8,5638.333333333334,5608.333333333334,5570.555555555556,5740.277777777778
2021-02-10,4841.0,8.56,148.2,4858.333333333334,4798.611111111111,4795.833333333334,4938.611111111111
2021-02-11,4841.0,2.199,27.67,3295.277777777778,3033.888888888889,3116.388888888889,3234.722222222222
2021-02-12,4841.0,1.366,21.39,2111.138888888889,1950.388888888889,1993.9444444444446,2056.194444444445
2021-02-13,4841.0,3.332,57.99,2875.0,2728.638888888889,2793.0555555555557,2884.722222222222
2021-02-14,4841.0,1.166,16.73,1910.9166666666667,1696.3055555555557,1760.25,1800.1666666666667
2021-02-15,4841.0,8.26,158.1,5495.277777777778,5277.5,5305.0,5536.388888888889
2021-02-16,4841.0,9.91,247.6,6225.0,6090.555555555556,6096.38888888889,6334.166666666667
2021-02-17,4841.0,6.198,138.5,4798.055555555556,4548.611111111111,4571.666666666667,4748.611111111111
2021-02-18,4841.0,9.38,230.8,6595.833333333334,6379.722222222223,6442.777777777778,6650.833333333334
2021-02-19,4841.0,3.715,48.06,3677.5,3378.3333333333335,3460.8333333333335,3568.888888888889
2021-02-20,4841.0,6.597,84.8,4721.666666666667,4406.944444444444,4510.277777777778,4611.388888888889
2021-02-21,4841.0,8.61,129.6,5493.333333333334,5195.0,5296.388888888889,5405.555555555556
2021-02-22,4841.0,9.56,165.7,5647.5,5379.722222222223,5479.444444444444,5610.833333333334
2021-03-03,4841.0,8.78,382.2,6212.777777777778,5758.333333333334,5928.333333333334,6135.277777777778
2021-03-04,4841.0,4.715,98.9,4470.555555555556,4095.277777777778,4245.277777777778,4390.0
2021-03-05,4841.0,6.114,111.5,4893.888888888889,4456.944444444444,4608.055555555556,4768.888888888889
2021-03-06,4841.0,6.964,130.7,4825.833333333334,4422.5,4552.5,4709.166666666667
2021-03-07,4841.0,8.41,187.1,6200.0,5541.388888888889,5791.944444444444,5986.111111111111
2021-03-08,4841.0,9.5,263.7,7165.0,6531.944444444444,6778.055555555556,6971.38888888889
2021-03-09,4841.0,4.731,100.8,3524.444444444445,3292.222222222222,3389.444444444445,3483.888888888889
2021-03-10,4841.0,6.731,156.9,5061.944444444444,4564.722222222223,4738.333333333334,4860.833333333334
2021-03-11,4841.0,8.88,240.9,6670.555555555556,6031.38888888889,6309.444444444444,6461.944444444444
2021-03-12,4841.0,11.0,302.8,7192.5,6613.333333333334,6880.555555555556,7015.555555555556
2021-03-13,4841.0,10.63,275.3,6969.166666666667,6359.444444444444,6636.38888888889,6745.833333333334
2021-03-14,4841.0,10.0,189.0,6332.222222222223,5746.38888888889,5984.444444444444,6065.555555555556
2021-03-15,4841.0,8.86,203.7,6191.38888888889,5589.722222222223,5889.722222222223,5914.722222222223
2021-03-16,4841.0,6.231,146.0,4935.277777777778,4484.722222222223,4693.055555555556,4743.888888888889
2021-03-17,4841.0,3.782,91.9,3903.3333333333335,3447.5,3630.8333333333335,3681.1111111111113
2021-03-18,4841.0,6.931,119.0,4015.5555555555557,3648.6111111111113,3812.222222222222,3841.388888888889
2021-03-19,4841.0,8.45,186.0,5854.166666666667,5196.111111111111,5468.333333333334,5504.166666666667
2021-03-20,4841.0,4.731,91.6,3780.5555555555557,3317.777777777778,3486.666666666667,3506.388888888889
2021-03-21,4841.0,7.21,198.4,5932.222222222223,5143.888888888889,5481.944444444444,5474.722222222223
2021-03-22,4841.0,4.532,121.3,3372.5,3073.888888888889,3251.388888888889,3239.722222222222
